鹭岛国际四期,2室1厅,86.93平米,北,精装,中楼层(共18层)2012年建塔楼,外双楠,195,单价22432元/平米
鹭岛国际三期,4室2厅,168平米,南,精装,低楼层(共17层)2010年建板塔结合,外双楠,369,单价21965元/平米
蒂梵尼TOWN,2室1厅,79.56平米,东,精装,低楼层(共33层)2017年建板塔结合,广都,160,单价20111元/平米
大庆路66号,2室1厅,74.18平米,东南,简装,高楼层(共7层)1996年建板楼,府南新区,72,单价9707元/平米
翰林南城,3室2厅,100.31平米,东 西,精装,高楼层(共6层)2007年建板楼,航空港,103,单价10269元/平米
保利心语花园二期,3室2厅,103.41平米,东,精装,32层2012年建板塔结合,大源,275,单价26594元/平米
珠江国际花园,3室1厅,108平米,西南,简装,中楼层(共32层)2009年建板塔结合,珠江新城,130,单价12038元/平米
西西里一期,1室1厅,59.17平米,东南,精装,中楼层(共33层)2008年建板塔结合,茶店子,93,单价15718元/平米
西线阳光,3室2厅,115.9平米,东北,精装,低楼层(共18层)2007年建板楼,高家庄,148,单价12770元/平米
蓝光COCO金沙三期,3室1厅,73.62平米,东南,毛坯,中楼层(共23层)2015年建板塔结合,外金沙,130,单价17659元/平米
温哥华花园,3室1厅,124.82平米,东北,简装,中楼层(共15层)2007年建塔楼,航空港,155.9,单价12490元/平米
春秋名邸,3室1厅,89.75平米,东南,毛坯,高楼层(共18层)2007年建板塔结合,龙泉驿城区,95,单价10585元/平米
童子街庭苑,3室2厅,132.52平米,南 北,简装,中楼层(共23层)2008年建板楼,太升路,300,单价22639元/平米
蓝光COCO金沙三期,3室2厅,76.54平米,东,精装,中楼层(共17层)2015年建板塔结合,外金沙,168,单价21950元/平米
华裕路9号,1室1厅,51.13平米,东,简装,低楼层(共18层)塔楼,龙潭寺,54.8,单价10718元/平米
香山苑,2室2厅,89.91平米,南,精装,中楼层(共23层)2007年建板楼,金牛万达,142,单价15794元/平米
保利心语花园二期,3室2厅,103.41平米,东,精装,32层2012年建板塔结合,大源,268,单价25917元/平米
中铁双龙湾,3室2厅,118.82平米,北,简装,中楼层(共20层)2008年建塔楼,外金沙,220,单价18516元/平米
中和新城,2室1厅,72.41平米,南,简装,中楼层(共6层)塔楼,彭州,38,单价5248元/平米
远洋朗郡,3室2厅,111.95平米,东南,精装,中楼层(共17层)2012年建板楼,高家庄,190,单价16972元/平米
蓝光幸福满庭,3室2厅,69平米,东南,精装,高楼层(共26层)2015年建板塔结合,犀浦,112.9,单价16363元/平米
东方华大广场,3室2厅,95.5平米,东,精装,高楼层(共22层)2016年建塔楼,龙泉驿城区,126,单价13194元/平米
六九宿舍,2室1厅,70平米,东南 南,简装,低楼层(共7层)2014年建板楼,猛追湾,92,单价13143元/平米
兴元绿洲一期,2室1厅,82.79平米,西南,精装,低楼层(共22层)2007年建塔楼,金府,106,单价12804元/平米
皇城公寓,3室1厅,146.04平米,北,简装,中楼层(共24层)2003年建板楼,盐市口,218,单价14928元/平米
交大归谷国际社区,3室1厅,139平米,西北,精装,中楼层(共13层)2013年建板楼,丽都,300,单价21583元/平米
太平南新街6号,2室1厅,56.21平米,西南,精装,高楼层(共10层)2006年建板塔结合,川大,98,单价17435元/平米
龙湖金楠天街,3室1厅,89.73平米,西南,精装,高楼层(共24层)2015年建塔楼,五大花园,190,单价21175元/平米
新鸿基悦城,3室2厅,132.46平米,南 北,精装,高楼层(共30层)2012年建板塔结合,海洋公园,270,单价20384元/平米
麓山国际云曦台,2室1厅,78平米,西南,毛坯,22层2015年建板楼,麓山,130,单价16667元/平米
爱家馨城,3室2厅,106.2平米,南,简装,低楼层(共11层)2004年建板楼,红牌楼,170,单价16008元/平米
理工东苑,3室2厅,129.71平米,东南,精装,中楼层(共32层)塔楼,理工大,205,单价15805元/平米
洲际春天广场,3室2厅,77平米,南,精装,中楼层(共38层)2016年建板塔结合,光华大道沿线,108,单价14026元/平米
皇冠湖壹号,3室1厅,89平米,东北,精装,低楼层(共33层)2018年建塔楼,龙泉驿城区,160,单价17978元/平米
北新润苑一期,4室1厅,134.24平米,东南,毛坯,低楼层(共18层)2012年建板塔结合,大丰,145,单价10802元/平米
上东一号一期,3室1厅,86平米,南,简装,高楼层(共17层)2008年建板塔结合,动物园,116,单价13489元/平米
学府嘉苑,2室2厅,80.91平米,东 西,简装,高楼层(共6层)2007年建板楼,航空港,82,单价10135元/平米
凯华丽景,3室2厅,121.8平米,西南,精装,高楼层(共20层)2009年建板塔结合,四河,162,单价13301元/平米
新神风金牛座,3室1厅,104.41平米,东,精装,高楼层(共30层)2015年建板塔结合,大丰,145,单价13888元/平米
西财学府憬城,2室1厅,85.99平米,东南,简装,高楼层(共26层)2014年建板塔结合,温江大学城,93,单价10816元/平米
皇冠国际社区一期,3室2厅,92.59平米,东,简装,中楼层(共6层)2009年建板塔结合,龙泉驿城区,143,单价15445元/平米
恒大雅苑,3室2厅,120.77平米,东南,精装,低楼层(共26层)塔楼,青白江,81.1,单价6708元/平米
长富花园,3室2厅,129.17平米,东南,精装,高楼层(共18层)2002年建板楼,人民公园,290,单价22452元/平米
嘉祥瑞庭南城,2室1厅,77.09平米,西南,精装,低楼层(共33层)2016年建塔楼,华阳,140,单价18161元/平米
中铁塔米亚,3室2厅,104.81平米,东北,精装,低楼层(共18层)2011年建板塔结合,成外,135,单价12881元/平米
燃灯寺东街5号,2室1厅,47.78平米,东,精装,中楼层(共7层)2000年建板楼,广福桥,61,单价12767元/平米
棠湖家苑,2室2厅,88.74平米,东南,简装,中楼层(共6层)1999年建塔楼,东升镇,70,单价7889元/平米
两河锦地,2室1厅,83.83平米,东,简装,中楼层(共18层)2009年建板楼,高家庄,105,单价12526元/平米
武青嘉苑,2室1厅,71平米,东南,毛坯,低楼层(共6层)2005年建板楼,草金立交,75,单价10564元/平米
雄飞北尚广场,2室1厅,78.62平米,南,毛坯,中楼层(共26层)2015年建板塔结合,毗河,82,单价10430元/平米
西江月,3室2厅,128.49平米,东南,简装,中楼层(共17层)2009年建塔楼,成外,158,单价12297元/平米
绿地世纪城,1室1厅,53平米,南,精装,高楼层(共21层)2016年建塔楼,驷马桥,80,单价15095元/平米
世纪朝阳,2室2厅,91.14平米,西南,简装,中楼层(共26层)2005年建板塔结合,九眼桥,175,单价19202元/平米
抚琴西南路14号,2室1厅,72平米,南 北,简装,6层1998年建板楼,石人小区,82,单价11389元/平米
川网国际花园,3室2厅,103.65平米,北,简装,高楼层(共11层)2015年建板塔结合,蛟龙港,138,单价13315元/平米
朝阳时代西锦,2室2厅,88.58平米,西,简装,高楼层(共33层)2014年建板塔结合,花都大道,85,单价9596元/平米
博瑞都市花园,3室2厅,124.57平米,南 北,简装,中楼层(共6层)2002年建板楼,优品道,290,单价23281元/平米
棠湖西路一段129号,3室2厅,87.39平米,南 北,简装,中楼层(共5层)板塔结合,东升镇,69,单价7896元/平米
合能四季城二期,3室1厅,89平米,东,精装,中楼层(共28层)2013年建板塔结合,犀浦,118,单价13259元/平米
蓝光花满庭一期,3室1厅,87.51平米,南,精装,低楼层(共21层)2009年建板塔结合,五块石,140,单价15999元/平米
树蓓巷1号,2室1厅,77平米,东,简装,高楼层(共7层)1998年建板楼,金牛万达,79,单价10260元/平米
12中街6号,2室2厅,75.33平米,南 北,简装,中楼层(共5层)1996年建板楼,川音,100,单价13275元/平米
雅居乐十里花巷,4室2厅,143平米,南 北,毛坯,中楼层(共33层)2016年建板塔结合,雅居乐,143,单价10000元/平米
金茂光明城市,2室1厅,81.25平米,北,简装,高楼层(共33层)2016年建板塔结合,华阳,135,单价16616元/平米
名城金典,2室1厅,57.13平米,东南,精装,低楼层(共17层)2015年建板楼,新北,105,单价18380元/平米
西城尚锦,3室2厅,77平米,东 西北,精装,低楼层(共20层)2015年建板塔结合,外光华,165,单价21429元/平米
上河新城,2室1厅,84.37平米,西北,简装,中楼层(共8层)2005年建塔楼,草市街,109,单价12920元/平米
保利心语花园二期,3室2厅,103.35平米,东 西,精装,32层2012年建板塔结合,大源,269,单价26029元/平米
建发天府鹭洲,3室2厅,108.04平米,西,精装,中楼层(共29层)2012年建塔楼,大源,400,单价37024元/平米
大成郡,3室2厅,97.01平米,东,精装,低楼层(共15层)2015年建塔楼,航空港,135,单价13917元/平米
金地花园,2室1厅,97.46平米,南,简装,低楼层(共7层)2003年建板楼,双楠,140,单价14365元/平米
龙腾嘉园,2室1厅,70.4平米,南,毛坯,高楼层(共17层)塔楼,大丰,49,单价6961元/平米
美丽朋城,1室1厅,62平米,西,精装,高楼层(共12层)2007年建板塔结合,贝森,74.8,单价12065元/平米
金地天府城,3室2厅,88.46平米,西南,精装,高楼层(共39层)2015年建板塔结合,广都,165,单价18653元/平米
派克公馆,2室1厅,69.99平米,南 东,精装,中楼层(共18层)2011年建塔楼,成外,88,单价12574元/平米
宏恩康城,3室2厅,140平米,南,毛坯,中楼层(共16层)2007年建塔楼,青白江,65,单价4643元/平米
水岸银座,2室1厅,78.64平米,南,精装,高楼层(共12层)2003年建板楼,合江亭,164,单价20855元/平米
电视塔路一段63号,3室2厅,80.97平米,南 北,简装,高楼层(共6层)2004年建暂无数据,东升镇,70,单价8646元/平米
澳龙名城,3室1厅,107平米,南,简装,中楼层(共16层)2009年建塔楼,攀成钢,257,单价24019元/平米
中海锦城一期,3室2厅,94.32平米,南,简装,中楼层(共14层)2011年建板楼,簇桥,188,单价19933元/平米
哥德堡,3室2厅,89.01平米,南,精装,高楼层(共31层)板塔结合,公兴,86,单价9662元/平米
温哥华花园,3室2厅,133.13平米,南,简装,低楼层(共6层)2006年建板楼,航空港,142,单价10667元/平米
御廷上郡,2室1厅,74.14平米,南,简装,低楼层(共26层)2012年建板塔结合,中和,133,单价17940元/平米
石人巷6号,3室2厅,101.4平米,南,精装,中楼层(共7层)1997年建板楼,府南新区,112,单价11046元/平米
臻品,1室0厅,48.76平米,西,简装,中楼层(共13层)2009年建塔楼,李家沱,40,单价8204元/平米
金色花园一期,3室2厅,97.57平米,西北,精装,中楼层(共7层)2003年建板楼,红牌楼,139,单价14247元/平米
南阳锦城,4室2厅,135平米,东南,精装,低楼层(共6层)2008年建板塔结合,南湖,185,单价13704元/平米
远大中央公园,3室2厅,108.4平米,东南,毛坯,高楼层(共33层)2018年建板塔结合,南湖,169,单价15591元/平米
上锦颐园,3室2厅,89.69平米,东南,简装,高楼层(共27层)2008年建板楼,高新西,84.8,单价9455元/平米
汇融悉尼湾库吉岛二期,3室2厅,80.15平米,西,精装,低楼层(共26层)2008年建板塔结合,大丰,100,单价12477元/平米
温哥华花园,3室2厅,122.86平米,南,精装,低楼层(共9层)2006年建板楼,航空港,153,单价12454元/平米
金沙鹭岛二期,2室2厅,81.79平米,西南,精装,高楼层(共26层)2012年建板楼,金沙,232,单价28366元/平米
皇城花卉,4室2厅,171.37平米,南,毛坯,中楼层(共32层)2011年建板楼,东苑,395,单价23050元/平米
中德英伦联邦B区,4室1厅,112.9平米,东北,精装,低楼层(共33层)2015年建板塔结合,中德,270,单价23915元/平米
和润国际,1室1厅,47.4平米,东南,毛坯,中楼层(共23层)2014年建塔楼,红光,39,单价8228元/平米
蒂梵尼TOWN,2室2厅,80.03平米,东,精装,中楼层(共33层)2017年建板塔结合,广都,160,单价19993元/平米
中德英伦世邦J区,3室2厅,89.01平米,西南,毛坯,低楼层(共32层)2017年建板楼,广都,210,单价23593元/平米
雄飞新园紫郡,3室1厅,83.74平米,东南,精装,高楼层(共16层)2015年建板塔结合,市一医院,155,单价18510元/平米
恒大翡翠华庭,3室2厅,85.57平米,南,精装,低楼层(共22层)2017年建塔楼,万家湾,176,单价20568元/平米
蓝光花满庭一期,2室2厅,79.3平米,南,精装,高楼层(共21层)2009年建板塔结合,五块石,118.8,单价14982元/平米
华宇阳光水岸,2室1厅,71.58平米,东南,简装,高楼层(共21层)2010年建板塔结合,驷马桥,113,单价15787元/平米
金沙鹭岛一期,2室2厅,88.9平米,东南,精装,低楼层(共27层)2010年建板楼,金沙,212,单价23848元/平米
恒大西锦城,2室2厅,88.76平米,东南,精装,低楼层(共29层)2012年建塔楼,国宾,143,单价16111元/平米
龙湖三千庭,3室2厅,90.25平米,东,精装,高楼层(共33层)板楼,大面,162,单价17951元/平米
保利锦湖林语南区,3室2厅,96平米,西,精装,中楼层(共22层)2016年建板塔结合,金融城,258,单价26875元/平米
锦西民宅,2室2厅,70.12平米,东北,精装,高楼层(共7层)2000年建板楼,府南新区,110,单价15688元/平米
成都花园翠雍华庭,4室2厅,143.47平米,南 北,精装,高楼层(共11层)2002年建板楼,西南财大,303,单价21120元/平米
四季映像,2室1厅,76.39平米,南,精装,中楼层(共34层)2012年建板塔结合,大面,105,单价13746元/平米
麓山国际塞尔维蒙,,,,,上叠(共4层)2008年建板楼,麓山,280,单价18760元/平米
棠湖泊林城,2室1厅,85.51平米,北,精装,高楼层(共33层)2017年建板塔结合,华府,110,单价12864元/平米
蓝光COCO时代,3室1厅,69.69平米,南,毛坯,低楼层(共32层)2014年建板塔结合,八里小区,137,单价19659元/平米
北新润苑二期,3室2厅,89.86平米,西,简装,中楼层(共15层)2012年建板塔结合,大丰,110,单价12242元/平米
恒大天府半岛,3室2厅,129.4平米,西南,精装,低楼层(共33层)2017年建塔楼,锦江生态带,206,单价15920元/平米
大学路10号,3室1厅,65.61平米,南,简装,中楼层(共5层)1990年建板塔结合,川音,145,单价22101元/平米
翡翠城二期,3室2厅,127.94平米,西南,精装,低楼层(共17层)2006年建板塔结合,东湖,380,单价29702元/平米
金科东方雅郡,2室1厅,67平米,南,精装,中楼层(共32层)2017年建板塔结合,大面,97,单价14478元/平米
桂香庭园,2室2厅,91.92平米,东南,精装,中楼层(共7层)2003年建板楼,一品天下,138,单价15014元/平米
慕和南道,2室1厅,70.43平米,北,简装,低楼层(共26层)2010年建板塔结合,华阳,130,单价18459元/平米
派克公馆,2室1厅,68.81平米,东南,简装,高楼层(共18层)2011年建塔楼,成外,85,单价12353元/平米
合能珍宝琥珀三期,3室1厅,85.7平米,东南,精装,中楼层(共32层)板塔结合,光华大道沿线,128,单价14936元/平米
东山国际新城H区三期,2室2厅,70.3平米,西北,精装,中楼层(共31层)2015年建板塔结合,东山,90,单价12803元/平米
卧龙晓城,4室1厅,168.74平米,南 北,简装,高楼层(共6层)2003年建板楼,府南新区,225,单价13335元/平米
中海格林威治城,4室2厅,164平米,西南,简装,高楼层(共31层)2006年建板塔结合,川大,356,单价21708元/平米
首信首御,1室1厅,49.85平米,东,简装,中楼层(共14层)2013年建板塔结合,新双楠,87,单价17453元/平米
华宇阳光水岸,2室2厅,75.2平米,东南,简装,低楼层(共21层)2010年建板塔结合,驷马桥,118,单价15692元/平米
花样年花样城,3室2厅,89平米,东,精装,高楼层(共33层)板塔结合,温江大学城,90,单价10113元/平米
时代豪庭四期,3室2厅,213.3平米,西,精装,低楼层(共40层)2011年建塔楼,合江亭,750,单价35162元/平米
丽景华庭一期,2室1厅,67.92平米,南,精装,中楼层(共12层)2003年建板楼,外双楠,112,单价16490元/平米
双峰嶺,2室2厅,82.43平米,南,简装,低楼层(共28层)2012年建塔楼,南湖,118,单价14316元/平米
